permutation|permutationMap|result|denot total iterations
103|{232: 0, 237: 11, 236: 232, 10: 236, 233: 242, 2: 3, 0: 2, 11: 233, 242: 237, 3: 10}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 & a - b > -181 } { t = 0 & -a + b > -179 & b >= 0 & a - b >= 1 } )|800
104|{232: 3, 237: 242, 236: 0, 10: 237, 233: 2, 2: 10, 0: 233, 11: 232, 242: 236, 3: 11}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } )|20
105|{232: 3, 237: 242, 236: 236, 10: 0, 233: 10, 2: 232, 0: 237, 11: 2, 242: 11, 3: 233}|( { t = 0 & -a + b > -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b > -177 & a >= 0 } )|737
106|{232: 236, 237: 233, 236: 3, 10: 237, 233: 242, 2: 0, 0: 232, 11: 11, 242: 10, 3: 2}|( { t = 0 & -a + b > -1 & b >= 0 & a - b > -177 & a >= 0 } )|977
107|{232: 237, 237: 2, 236: 233, 10: 232, 233: 0, 2: 11, 0: 3, 11: 242, 242: 10, 3: 236}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } )|728
108|{232: 0, 237: 236, 236: 237, 10: 233, 233: 242, 2: 3, 0: 2, 11: 11, 242: 232, 3: 10}|( { t = 0 & -a + b > -1 & b >= 0 & a - b > -65 & a >= 0 } )|754
109|{232: 2, 237: 242, 236: 232, 10: 10, 233: 11, 2: 236, 0: 0, 11: 233, 242: 237, 3: 3}|( { t = 0 & -a + b > -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b > -65 & a >= 0 } )|492
110|{232: 236, 237: 233, 236: 11, 10: 10, 233: 3, 2: 0, 0: 237, 11: 232, 242: 242, 3: 2}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } )|19
111|{232: 232, 237: 237, 236: 236, 10: 11, 233: 2, 2: 3, 0: 0, 11: 10, 242: 233, 3: 242}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -61 & a >= 0 } )|245
112|{232: 232, 237: 2, 236: 11, 10: 242, 233: 10, 2: 236, 0: 0, 11: 237, 242: 3, 3: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -65 & a >= 0 } )|248
113|{232: 10, 237: 0, 236: 2, 10: 11, 233: 236, 2: 237, 0: 233, 11: 232, 242: 242, 3: 3}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 & a - b > -181 } { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|539
114|{232: 10, 237: 11, 236: 0, 10: 237, 233: 242, 2: 232, 0: 236, 11: 2, 242: 3, 3: 233}|( { t = 0 & -a + b > -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b > -177 & a >= 0 } )|1444
115|{232: 233, 237: 11, 236: 0, 10: 10, 233: 242, 2: 236, 0: 237, 11: 2, 242: 232, 3: 3}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|10
116|{232: 3, 237: 242, 236: 0, 10: 2, 233: 11, 2: 10, 0: 232, 11: 236, 242: 233, 3: 237}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|7
117|{232: 0, 237: 10, 236: 2, 10: 3, 233: 11, 2: 233, 0: 237, 11: 236, 242: 232, 3: 242}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 & a - b >= -65 } )|241
